bed,bath,sqft,prices,addresses,cities,state
4,2,2272,749000,"128 W Thunderbird Rd, Phoenix, AZ 85023",Phoenix,AZ
3,3,2143,649990,"5047 E Gallop Way, Scottsdale, AZ 85254",Scottsdale,AZ
3,2,1540,475000,"1317 W Villa Rita Dr, Phoenix, AZ 85023",Phoenix,AZ
2,2,1022,245000,"18811 N 19th Ave APT 1022, Phoenix, AZ 85027",Phoenix,AZ
4,4,1768,363000,"1812 N 77th Gln, Phoenix, AZ 85035",Phoenix,AZ
3,3,1801,525000,"3223 W Carter Rd, Phoenix, AZ 85041",Phoenix,AZ
5,4,3646,1499000,"21505 N 59th Ter, Phoenix, AZ 85054",Phoenix,AZ
5,4,2780,1295000,"31628 N 40th Way, Cave Creek, AZ 85331",Cave Creek,AZ
3,1,1341,399000,"4910 Lippitt Ln, Sacramento, CA 95820",Sacramento,CA
3,3,2206,710000,"133 Suez Canal Ln, Sacramento, CA 95834",Sacramento,CA
2,3,9583,150000,"3424 Taylor St, Sacramento, CA 95838",Sacramento,CA
1,3,1286,399000,"6532 La Cienega Dr, North Highlands, CA 95660",North Highlands,CA
1,3,1074,249900,"4400 39th Ave, Sacramento, CA 95824",Sacramento,CA
2,4,1125,360000,"5613 Rosario Blvd, North Highlands, CA 95660",North Highlands,CA
2,3,1272,388999,"6551 Channing Dr, North Highlands, CA 95660",North Highlands,CA
2,3,1224,415000,"6801 Springwood Dr, Sacramento, CA 95842",Sacramento,CA
2,3,1588,328000,"4253-4253 W Taylor St, Sacramento, CA 95838",Sacramento,CA
2,2,1214,279000,"15475 Andrews Drive  Unit 312, Denver, CO 80239",Denver,CO
5,2,1908,550000,"3970 N Jackson Street, Denver, CO 80205",Denver,CO
3,3,2376,719000,"1950 S Kearney Way, Denver, CO 80224",Denver,CO
3,2,1365,500000,"4800 Perry Street, Denver, CO 80212",Denver,CO
1,1,784,250000,"3414 S Locust Street  Unit C, Denver, CO 80222",Denver,CO
2,3,1408,370000,"9283 E Nassau Avenue, Denver, CO 80237",Denver,CO
4,3,2248,695000,"3600 Ivanhoe Street, Denver, CO 80207",Denver,CO
3,3,2192,825000,"653 Fox Street, Denver, CO 80204",Denver,CO
2,1,706,537000,"3601 N Saint Paul Street, Denver, CO 80205",Denver,CO
2,4,4612,1650000,"585 Cherokee Ave SE, Atlanta, GA 30312",Atlanta,GA
5,3,2544,1175000,"49 Paces West Dr NW, Atlanta, GA 30327",Atlanta,GA
3,3,1913,620000,"427 W Ontario Ave SW, Atlanta, GA 30310",Atlanta,GA
3,1,492,200000,"1355 Euclid Ave NE APT 7, Atlanta, GA 30307",Atlanta,GA
1,1,1976,249000,"215 Silver Springs Cir SW, Atlanta, GA 30310",Atlanta,GA
2,2,872,170000,"4024 Blanton Ave SW, Atlanta, GA 30331",Atlanta,GA
4,4,40946,49900,"101 Howell Dr SW, Atlanta, GA 30331",Atlanta,GA
3,2,2335,450000,"513 Glenwood Ave SE, Atlanta, GA 30312",Atlanta,GA
2,2,1792,800000,"640 Glen Iris Dr NE APT 615, Atlanta, GA 30308",Atlanta,GA
5,3,4000,1650000,"2040 22nd Streetth St, Brooklyn, NY 11229",Brooklyn,NY
1,1,1927,575000,"235 E 49th St APT 3A, New York, NY 10017",New York,NY
3,3,1531,2415000,"350 Butler St #8A, Brooklyn, NY 11217",Brooklyn,NY
4,2,2205,1680000,"6710 15th Ave, Brooklyn, NY 11219",Brooklyn,NY
1,1,482,595000,"250 E 40th St APT 22C, New York, NY 10016",New York,NY
2,2,1297,1950000,"215 E 80th St APT 7J, New York, NY 10075",New York,NY
2,2,1200,1995000,"325 5th Ave APT 20H, New York, NY 10016",New York,NY
1,1,450,220000,"90-02 63rd Dr APT 6E, Rego Park, NY 11374",Rego Park,NY
2,1,996,695000,"1885 Lexington Ave APT 6D, New York, NY 10035",New York,NY
8,3,1850,169500,"168 Brookfield St, Hartford, CT 06106",Hartford,CT
3,2,1602,309900,"711 Broadview Ter, Hartford, CT 06106",Hartford,CT
5,2,5553,610000,"49 Benton St, Hartford, CT 06114",Hartford,CT
12,6,3149,299900,"163 Wilson St, Hartford, CT 06106",Hartford,CT
6,3,3873,300000,"33 Seyms St, Hartford, CT 06120",Hartford,CT
12,3,1865,259900,"736 Hillside Ave, Hartford, CT 06106",Hartford,CT
3,2,2256,264900,"71 Tremont St, Hartford, CT 06105",Hartford,CT
3,2,4248,249925,"150 Babcock St, Hartford, CT 06106",Hartford,CT
1,2,2160,249000,"141 Mather St, Hartford, CT 06120",Hartford,CT
1,1,1455,225000,"300 S Duval St UNIT 2103, Tallahassee, FL 32301",Tallahassee,FL
4,2,2190,99900,"1422 Russell St, Tallahassee, FL 32310",Tallahassee,FL
2,2,703,150000,"741 White Dr APT 24, Tallahassee, FL 32304",Tallahassee,FL
4,2,1088,369900,"5637 Sioux Dr, Tallahassee, FL 32317",Tallahassee,FL
4,2,984,299900,"1809 Doomar Dr, Tallahassee, FL 32308",Tallahassee,FL
3,2,1760,225000,"2032 Harriet Dr, Tallahassee, FL 32303",Tallahassee,FL
3,2,1600,185000,"5628 Cypress Cir, Tallahassee, FL 32303",Tallahassee,FL
4,3,1288,399900,"4729 Buttercup Way, Tallahassee, FL 32311",Tallahassee,FL
3,2,950,315000,"3896 Mayflower Ct, Tallahassee, FL 32303",Tallahassee,FL
4,4,3100,735000,"1935 Bellefontaine St, Indianapolis, IN 46202",Indianapolis,IN
2,2,1456,115000,"2702 E New York St, Indianapolis, IN 46201",Indianapolis,IN
6,6,3236,450000,"2040-2040 N Park Ave #2042, Indianapolis, IN 46202",Indianapolis,IN
3,3,3382,400000,"9807 Violet Cir, Indianapolis, IN 46239",Indianapolis,IN
3,2,1384,330000,"5750 Susan Dr E, Indianapolis, IN 46250",Indianapolis,IN
4,2,1128,135000,"856 Westbrook Ave, Indianapolis, IN 46241",Indianapolis,IN
3,3,2448,349500,"2849 N New Jersey St, Indianapolis, IN 46205",Indianapolis,IN
3,1,1599,69900,"3550 E New York St, Indianapolis, IN 46201",Indianapolis,IN
4,4,3750,469900,"1101 Larch St, Indianapolis, IN 46201",Indianapolis,IN
6,3,2616,225000,"2520 SW Washburn Ave, Topeka, KS 66611",Topeka,KS
3,3,3101,279900,"1530 SE 43rd Pl, Topeka, KS 66609",Topeka,KS
3,2,1504,128850,"2419 SW Harrison St, Topeka, KS 66611",Topeka,KS
3,2,1642,384900,"4317 SW Lakeside Dr, Topeka, KS 66610",Topeka,KS
3,4,2228,264900,"2605 SW Arvonia Pl, Topeka, KS 66614",Topeka,KS
3,2,1912,179000,"4501 SW 17th St, Topeka, KS 66604",Topeka,KS
4,3,2291,275000,"2637 SW Ashworth Pl, Topeka, KS 66614",Topeka,KS
5,3,2884,338000,"2839 SW Berkshire Dr, Topeka, KS 66614",Topeka,KS
3,2,1480,199000,"2245 SW Belle Ave, Topeka, KS 66614",Topeka,KS
4,2,2194,329900,"19 Baltusrol Ct, Dover, DE 19904",Dover,DE
5,4,3750,549900,"41 Pine Valley Rd, Dover, DE 19904",Dover,DE
4,2,2000,430000,"8329 Bayside Dr, Dover, DE 19901",Dover,DE
3,2,1820,430900,"The Larkspur- 3 Plan, Noble's Pond",Noble's Pond,DE
3,2,1555,260000,"4609 Pearsons Corner Rd, Dover, DE 19904",Dover,DE
3,2,1488,320000,"57 Elm Ter, Dover, DE 19901",Dover,DE
2,2,1680,245000,"10722 Bayside Dr, Dover, DE 19901",Dover,DE
3,2,1512,219000,"119 Persimmon Cir, Dover, DE 19901",Dover,DE
0,0,37461,180000,"1819 Windswept Cir, Dover, DE 19901",Dover,DE
